file,vad_preset,whisper_preset,accuracy_pct,latency_s,hallucination_flags
09_street_light.wav,nhay_cao,chat_luong_cao_cham_hon,91.0,5.87,0
09_street_light.wav,can_bang,mac_dinh,91.0,3.77,0
09_street_light.wav,can_bang,chong_hallucination_manh,91.0,3.88,0
09_street_light.wav,can_bang,chat_luong_cao_cham_hon,91.0,6.12,0
09_street_light.wav,bao_thu,mac_dinh,92.3,3.84,0
09_street_light.wav,bao_thu,chong_hallucination_manh,92.3,3.75,0
09_street_light.wav,bao_thu,chat_luong_cao_cham_hon,92.3,6.08,0
10_street_medium.wav,nhay_cao,mac_dinh,100.0,2.94,0
10_street_medium.wav,nhay_cao,chong_hallucination_manh,100.0,2.81,0
10_street_medium.wav,nhay_cao,chat_luong_cao_cham_hon,98.3,4.02,0
10_street_medium.wav,can_bang,mac_dinh,100.0,3.05,0
10_street_medium.wav,can_bang,chong_hallucination_manh,100.0,2.87,0
10_street_medium.wav,can_bang,chat_luong_cao_cham_hon,100.0,4.03,0
10_street_medium.wav,bao_thu,mac_dinh,100.0,2.87,0
10_street_medium.wav,bao_thu,chong_hallucination_manh,100.0,2.89,0
10_street_medium.wav,bao_thu,chat_luong_cao_cham_hon,100.0,4.31,0
